#f key:  f_a: 0 = no measurement (set to -30). 1 = Si 2 = Si lower limit (error set to 0) 3 = Si upper limit 4 = S/H 5 = O/H 13 = Si + S limits
# f_Zn:  0=No measurement; 1=Zn measurement; 2=Zn lower limit; 3=Zn upper limit
# f_Fe: 0=No measurement; 1=Fe measurement; 2=Fe lower limit; 3=Fe upper limit; 4=[Ni/H]-0.1dex; 5=[Cr/H] - 0.2dex; 6=[Al/H]; 11-16=Fe, Ni, Cr, Al limits; 25=Mean of Fe limits.
# z_em      z_abs         NHI       error       f_a       α /H      error       f_zn     Zn/H       error       f_Fe    Fe/H       error
2.985		2.4180		 20.50      0.08 		 1		 -2.45 		0.05		 0		 -30.00 	0.00		 1		 -2.65 		0.05
2.810		2.4230		 20.78      0.08 		 4		 -1.29 		0.08		 0		 -30.00 	0.00		 1		 -1.46 		0.05
3.014		2.4263		 20.50      0.10 		 1		 -0.69 		0.02		 0		 -30.00 	0.00		 1		 -1.38 		0.01
2.763		2.4313		 20.34      0.10 		 1		 -0.54 		0.01		 0		 -30.00 	0.00		 1		 -1.20 		0.00
2.838		2.4562		 20.54      0.10 		 1		 -2.02 		0.02		 0		 -30.00 	0.00		 1		 -2.30 		0.02
2.490		2.4628		 20.38      0.05 		 1		 -0.41 		0.01		 1		 -0.29 		0.05		 1		 -0.87 		0.00
2.700		2.4653		 20.58      0.10 		 1		 -1.15 		0.05		 3		 -1.12 		0.00		 1		 -1.40 		0.01
2.920		2.4661		 21.50      0.10 		 1		 -1.59 		0.01		 1		 -1.62 		0.03		 1		 -1.84 		0.02
3.250		2.4690		 20.39      0.10 		 1		 -2.13 		0.10		 0		 -30.00 	0.00		 1		 -2.46 		0.05
2.500		2.4762		 20.78      0.10 		 4		 -1.39 		0.03		 3		 -1.33 		0.00		 1		 -1.75 		0.05
3.006		2.5009		 20.40      0.10 		 0		 -30.00 	0.00		 3		 -1.37 		0.00		 5		 -1.40 		0.04
3.216		2.5082		 21.15      0.15 		 2		 -0.56 		0.00		 1		 -0.29 		0.02		 1		 -1.08 		0.04
2.790		2.5379		 20.36      0.10 		 1		 -1.74 		0.01		 0		 -30.00 	0.00		 1		 -1.82 		0.03
3.020		2.5505		 21.13      0.10 		 1		 -1.37 		0.04		 1		 -1.36 		0.05		 1		 -1.68 		0.06
2.570		2.5693		 20.60      0.10 		 0		 -30.00 	0.00		 3		 -0.53 		0.00		 0		 -30.00 	0.00
3.200		2.5696		 20.30      0.15 		 1		 -1.63 		0.09		 0		 -30.00 	0.00		 1		 -1.65 		0.12
3.297		2.5841		 21.40      0.10 		 1		 -1.05 		0.01		 1		 -1.09 		0.05		 1		 -1.65 		0.03
3.020		2.5950		 21.09      0.10 		 1		 -1.06 		0.03		 1		 -1.08 		0.02		 1		 -1.44 		0.02
3.014		2.6147		 21.30      0.10 		 1		 -1.98 		0.07		 3		 -2.07 		0.00		 1		 -2.23 		0.09
2.785		2.6180		 20.35      0.10 		 1		 -2.60 		0.05		 0		 -30.00 	0.00		 0		 -30.00 	0.00
3.020		2.6215		 20.47      0.10 		 1		 -2.04 		0.06		 0		 -30.00 	0.00		 1		 -2.37 		0.02
3.050		2.6253		 20.76      0.01 		 1		 -0.79 		0.01		 2		 -1.68 		0.00		 1		 -1.18 		0.00
2.701		2.6263		 21.35      0.10 		 1		 -0.93 		0.05		 1		 -0.87 		0.02		 1		 -1.76 		0.01
3.090		2.6710		 21.10      0.10 		 1		 -1.44 		0.08		 0		 -30.00 	0.00		 1		 -1.86 		0.06
2.906		2.6823		 20.47      0.10 		 0		 -30.00 	0.00		 3		 -1.15 		0.00		 0		 -30.00 	0.00
2.985		2.7020		 20.30      0.10 		 1		 -0.50 		0.05		 0		 -30.00 	0.00		 0		 -30.00 	0.00
2.830		2.7026		 20.67      0.05 		 1		 -1.99 		0.01		 0		 -30.00 	0.00		 1		 -2.06 		0.03
2.970		2.7144		 21.00      0.15 		 1		 -0.94 		0.07		 1		 -0.78 		0.11		 1		 -1.20 		0.08
3.074		2.7434		 20.74      0.10 		 0		 -30.00 	0.00		 3		 -0.59 		0.00		 5		 -1.15 		0.06
3.200		2.7749		 21.45      0.15 		 1		 -1.04 		0.02		 0		 -30.00 	0.00		 1		 -1.66 		0.05
3.130		2.7775		 21.00      0.10 		 4		 -1.37 		0.02		 3		 -1.25 		0.00		 1		 -1.82 		0.01
3.150		2.7799		 20.30      0.15 		 1		 -1.86 		0.05		 0		 -30.00 	0.00		 1		 -2.33 		0.08
4.010		2.7828		 21.85      0.20 		 2		 -1.81 		0.00		 1		 -1.67 		0.07		 1		 -2.01 		0.04
2.885		2.7835		 21.00      0.07 		 1		 -2.08 		0.14		 3		 -1.62 		0.00		 1		 -2.47 		0.01
2.917		2.7959		 20.95      0.10 		 1		 -1.72 		0.07		 3		 -1.37 		0.00		 1		 -2.38 		0.02
3.119		2.7989		 20.70      0.05 		 1		 -1.80 		0.01		 0		 -30.00 	0.00		 3		 -1.09 		0.00
3.210		2.8000		 21.00      0.10 		 4		 -1.57 		0.08		 0		 -30.00 	0.00		 1		 -1.75 		0.14
3.170		2.8268		 20.30      0.04 		 2		 -0.84 		0.00		 1		 -0.79 		0.04		 1		 -1.32 		0.00
3.170		2.8520		 20.80      0.08 		 0		 -30.00 	0.00		 1		 -1.52 		0.10		 1		 -1.72 		0.05
2.917		2.9082		 21.10      0.10 		 1		 -1.04 		0.02		 3		 -1.30 		0.00		 1		 -1.58 		0.06
3.120		2.9489		 20.70      0.10 		 1		 -1.94 		0.02		 3		 -1.14 		0.00		 1		 -2.16 		0.01
3.006		2.9668		 20.78      0.10 		 0		 -30.00 	0.00		 3		 -1.52 		0.00		 0		 -30.00 	0.00
4.320		2.9831		 21.50      0.15 		 3		 -1.97 		0.00		 3		 -1.95 		0.00		 1		 -2.75 		0.06
3.220		3.0174		 20.48      0.10 		 1		 -1.68 		0.00		 0		 -30.00 	0.00		 1		 -1.93 		0.00
3.230		3.0247		 20.63      0.00 		 1		 -1.16 		0.03		 0		 -30.00 	0.00		 1		 -1.62 		0.01
3.330		3.0572		 20.45      0.10 		 1		 -1.08 		0.07		 3		 -0.90 		0.00		 1		 -1.62 		0.01
3.200		3.0621		 21.20      0.10 		 4		 -1.54 		0.01		 0		 -30.00 	0.00		 1		 -1.81 		0.02
3.140		3.0924		 21.05      0.15 		 1		 -0.72 		0.01		 3		 -0.58 		0.00		 1		 -1.19 		0.03
4.405		3.1040		 21.10      0.10 		 1		 -0.88 		0.02		 1		 -0.49 		0.05		 1		 -1.42 		0.05
4.450		3.1132		 20.65      0.07 		 1		 -1.54 		0.11		 3		 -1.14 		0.00		 1		 -1.98 		0.04
3.561		3.1192		 20.30      0.10 		 1		 -2.23 		0.04		 0		 -30.00 	0.00		 1		 -2.37 		0.04
3.442		3.1799		 20.79      0.10 		 0		 -30.00 	0.00		 3		 -1.21 		0.00		 0		 -30.00 	0.00
3.990		3.2020		 20.65      0.15 		 2		 -1.47 		0.00		 3		 -0.74 		0.00		25		 -1.41 		0.15
4.520		3.2191		 21.35      0.15 		 0		 -30.00 	0.00		 3		 -2.02 		0.00		11		 -2.02 		0.00
4.240		3.2194		 21.35      0.07 		 2		 -1.99 		0.00		 3		 -1.63 		0.00		 1		 -1.56 		0.08
4.180		3.2244		 20.67      0.07 		 1		 -2.33 		0.02		 3		 -1.18 		0.00		 1		 -2.45 		0.04
3.420		3.2353		 20.30      0.10 		 1		 -1.97 		0.02		 0		 -30.00 	0.00		 1		 -2.08 		0.02
3.290		3.2458		 20.30      0.10 		 4		 -0.85 		0.00		 0		 -30.00 	0.00		 1		 -1.26 		0.00
3.970		3.2529		 20.70      0.10 		 1		 -0.93 		0.04		 0		 -30.00 	0.00		 1		 -1.44 		0.01
3.370		3.2660		 21.30      0.05 		 0		 -30.00 	0.00		 1		 -1.65 		0.11		 0		 -30.00 	0.00
4.280		3.2725		 21.25      0.10 		 1		 -1.08 		0.05		 3		 -1.21 		0.00		 4		 -1.85 		0.10
4.250		3.2796		 20.45      0.08 		 1		 -1.13 		0.05		 3		 -0.97 		0.00		 1		 -1.58 		0.02
4.260		3.3163		 20.55      0.15 		 1		 -1.23 		0.07		 3		 -1.11 		0.00		25		 -1.59 		0.15
4.130		3.3172		 20.34      0.10 		 1		 -1.65 		0.11		 0		 -30.00 	0.00		 1		 -1.87 		0.01
4.520		3.3407		 21.05      0.15 		 3		 -2.08 		0.00		 3		 -1.55 		0.00		 1		 -2.79 		0.04
3.960		3.3504		 20.84      0.10 		 1		 -1.27 		0.08		 1		 -1.25 		0.04		 1		 -1.51 		0.03
3.610		3.3869		 21.26      0.10 		 4		 -1.25 		0.11		 0		 -30.00 	0.00		 1		 -1.41 		0.05
4.110		3.3901		 21.41      0.08 		 1		 -1.91 		0.02		 0		 -30.00 	0.00		 1		 -2.16 		0.03
4.180		3.3913		 20.30      0.10 		13		 -1.40 		0.15		 3		 -0.51 		0.00		 1		 -1.53 		0.04
4.460		3.4036		 21.15      0.15 		13		 -1.80 		0.29		 0		 -30.00 	0.00		 2		 -2.18 		0.00
4.110		3.4233		 20.85      0.05 		13		 -1.66 		0.21		 0		 -30.00 	0.00		11		 -1.76 		0.00
4.520		3.4252		 21.10      0.20 		 1		 -1.51 		0.05		 0		 -30.00 	0.00		11		 -1.76 		0.00
4.530		3.4389		 20.92      0.10 		 1		 -1.06 		0.05		 0		 -30.00 	0.00		 4		 -1.58 		0.04
3.689		3.4483		 20.40      0.10 		 0		 -30.00 	0.00		 3		 -1.09 		0.00		 0		 -30.00 	0.00
4.050		3.4960		 21.10      0.10 		 1		 -1.57 		0.04		 3		 -1.32 		0.00		 4		 -1.78 		0.04
4.180		3.5539		 20.50      0.10 		 2		 -1.82 		0.00		 3		 -0.56 		0.00		 1		 -1.91 		0.06
